Name,Slug,Category,Brand,Description,Price,Compare_Price,SKU,Image
"Dyson Ultra Home Kit 3","dyson-ultra-home-kit-3-7655","home-and-living","Dyson","This is dummy data for Dyson Ultra Home Kit 3. Includes premium features and excellent build quality out of the box.",6235,7482,"SKU-4B8036B0","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Bosch Advanced Home Kit 4","bosch-advanced-home-kit-4-73a1","home-and-living","Bosch","This is dummy data for Bosch Advanced Home Kit 4. Includes premium features and excellent build quality out of the box.",1806,2167,"SKU-589FE72E","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"IKEA Essential Home Pack 5","ikea-essential-home-pack-5-19bc","home-and-living","IKEA","This is dummy data for IKEA Essential Home Pack 5. Includes premium features and excellent build quality out of the box.",1620,1944,"SKU-08FB5C95","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Philips Smart Home Unit 6","philips-smart-home-unit-6-679a","home-and-living","Philips","This is dummy data for Philips Smart Home Unit 6. Includes premium features and excellent build quality out of the box.",7361,8833,"SKU-2F787BD3","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"Dyson Advanced Home Pack 7","dyson-advanced-home-pack-7-c10a","home-and-living","Dyson","This is dummy data for Dyson Advanced Home Pack 7. Includes premium features and excellent build quality out of the box.",447,536,"SKU-762118BB","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Bosch Essential Home Unit 8","bosch-essential-home-unit-8-7d87","home-and-living","Bosch","This is dummy data for Bosch Essential Home Unit 8. Includes premium features and excellent build quality out of the box.",2646,3175,"SKU-C36D3791","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"IKEA Ultra Home Edition 9","ikea-ultra-home-edition-9-1c66","home-and-living","IKEA","This is dummy data for IKEA Ultra Home Edition 9. Includes premium features and excellent build quality out of the box.",8137,9764,"SKU-A7FCC326","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Under Armour Premium Sports Set 1","under-armour-premium-sports-set-1-b97e","sports-fitness","Under Armour","This is dummy data for Under Armour Premium Sports Set 1. Includes premium features and excellent build quality out of the box.",1327,1592,"SKU-A20FFE12","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Wilson Essential Sports Bundle 2","wilson-essential-sports-bundle-2-9671","sports-fitness","Wilson","This is dummy data for Wilson Essential Sports Bundle 2. Includes premium features and excellent build quality out of the box.",8340,10008,"SKU-243A4E24","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Reebok Essential Sports Kit 3","reebok-essential-sports-kit-3-f9c3","sports-fitness","Reebok","This is dummy data for Reebok Essential Sports Kit 3. Includes premium features and excellent build quality out of the box.",8784,10540,"SKU-B5E7717E","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Yonex Premium Sports Edition 4","yonex-premium-sports-edition-4-5280","sports-fitness","Yonex","This is dummy data for Yonex Premium Sports Edition 4. Includes premium features and excellent build quality out of the box.",527,632,"SKU-D3341114","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Under Armour Premium Sports Edition 5","under-armour-premium-sports-edition-5-dd03","sports-fitness","Under Armour","This is dummy data for Under Armour Premium Sports Edition 5. Includes premium features and excellent build quality out of the box.",402,482,"SKU-A76689D3","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Wilson Advanced Sports Set 6","wilson-advanced-sports-set-6-41c1","sports-fitness","Wilson","This is dummy data for Wilson Advanced Sports Set 6. Includes premium features and excellent build quality out of the box.",3053,3663,"SKU-A721681E","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Reebok Advanced Sports Pack 7","reebok-advanced-sports-pack-7-ee8d","sports-fitness","Reebok","This is dummy data for Reebok Advanced Sports Pack 7. Includes premium features and excellent build quality out of the box.",718,861,"SKU-30578C14","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Yonex Ultra Sports Unit 8","yonex-ultra-sports-unit-8-8876","sports-fitness","Yonex","This is dummy data for Yonex Ultra Sports Unit 8. Includes premium features and excellent build quality out of the box.",991,1189,"SKU-75BAEA55","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Under Armour Ultra Sports Kit 9","under-armour-ultra-sports-kit-9-b877","sports-fitness","Under Armour","This is dummy data for Under Armour Ultra Sports Kit 9. Includes premium features and excellent build quality out of the box.",7974,9568,"SKU-F9945D3F","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"L'Oréal Essential Beauty Bundle 1","l-or-al-essential-beauty-bundle-1-e056","beauty-personal-care","L'Oréal","This is dummy data for L'Oréal Essential Beauty Bundle 1. Includes premium features and excellent build quality out of the box.",785,942,"SKU-0AA1C07A","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"MAC Pro Beauty Kit 2","mac-pro-beauty-kit-2-bca7","beauty-personal-care","MAC","This is dummy data for MAC Pro Beauty Kit 2. Includes premium features and excellent build quality out of the box.",9167,11000,"SKU-82E22E79","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Nivea Classic Beauty Unit 3","nivea-classic-beauty-unit-3-bfdb","beauty-personal-care","Nivea","This is dummy data for Nivea Classic Beauty Unit 3. Includes premium features and excellent build quality out of the box.",7373,8847,"SKU-9D8D7603","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Gillette Advanced Beauty Edition 4","gillette-advanced-beauty-edition-4-cc69","beauty-personal-care","Gillette","This is dummy data for Gillette Advanced Beauty Edition 4. Includes premium features and excellent build quality out of the box.",6720,8064,"SKU-611E0835","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"L'Oréal Advanced Beauty Kit 5","l-or-al-advanced-beauty-kit-5-887d","beauty-personal-care","L'Oréal","This is dummy data for L'Oréal Advanced Beauty Kit 5. Includes premium features and excellent build quality out of the box.",8404,10084,"SKU-4B912289","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"MAC Ultra Beauty Kit 6","mac-ultra-beauty-kit-6-cc29","beauty-personal-care","MAC","This is dummy data for MAC Ultra Beauty Kit 6. Includes premium features and excellent build quality out of the box.",6113,7335,"SKU-1A24D177","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Nivea Premium Beauty Pack 7","nivea-premium-beauty-pack-7-08a9","beauty-personal-care","Nivea","This is dummy data for Nivea Premium Beauty Pack 7. Includes premium features and excellent build quality out of the box.",6419,7702,"SKU-20E8E60E","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Gillette Premium Beauty Bundle 8","gillette-premium-beauty-bundle-8-73fa","beauty-personal-care","Gillette","This is dummy data for Gillette Premium Beauty Bundle 8. Includes premium features and excellent build quality out of the box.",7809,9370,"SKU-2ABC91E0","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"L'Oréal Advanced Beauty Set 9","l-or-al-advanced-beauty-set-9-946d","beauty-personal-care","L'Oréal","This is dummy data for L'Oréal Advanced Beauty Set 9. Includes premium features and excellent build quality out of the box.",2665,3198,"SKU-C36B4301","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Penguin Advanced Books Unit 1","penguin-advanced-books-unit-1-d445","books-education","Penguin","This is dummy data for Penguin Advanced Books Unit 1. Includes premium features and excellent build quality out of the box.",1661,1993,"SKU-5AA37934","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"Oxford Premium Books Unit 2","oxford-premium-books-unit-2-1748","books-education","Oxford","This is dummy data for Oxford Premium Books Unit 2. Includes premium features and excellent build quality out of the box.",647,776,"SKU-C0D16698","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Pearson Premium Books Edition 3","pearson-premium-books-edition-3-caf0","books-education","Pearson","This is dummy data for Pearson Premium Books Edition 3. Includes premium features and excellent build quality out of the box.",5628,6753,"SKU-A8B94D0E","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Scholastic Smart Books Bundle 4","scholastic-smart-books-bundle-4-843b","books-education","Scholastic","This is dummy data for Scholastic Smart Books Bundle 4. Includes premium features and excellent build quality out of the box.",7227,8672,"SKU-29A0B035","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Penguin Classic Books Pack 5","penguin-classic-books-pack-5-6fbc","books-education","Penguin","This is dummy data for Penguin Classic Books Pack 5. Includes premium features and excellent build quality out of the box.",1543,1851,"SKU-DAAA6FED","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Oxford Advanced Books Set 6","oxford-advanced-books-set-6-ce44","books-education","Oxford","This is dummy data for Oxford Advanced Books Set 6. Includes premium features and excellent build quality out of the box.",8870,10644,"SKU-6B1C7114","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Pearson Advanced Books Set 7","pearson-advanced-books-set-7-38a0","books-education","Pearson","This is dummy data for Pearson Advanced Books Set 7. Includes premium features and excellent build quality out of the box.",8577,10292,"SKU-9F2F98C3","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Scholastic Advanced Books Bundle 8","scholastic-advanced-books-bundle-8-108b","books-education","Scholastic","This is dummy data for Scholastic Advanced Books Bundle 8. Includes premium features and excellent build quality out of the box.",5940,7128,"SKU-F403B91F","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"Penguin Ultra Books Pack 9","penguin-ultra-books-pack-9-c455","books-education","Penguin","This is dummy data for Penguin Ultra Books Pack 9. Includes premium features and excellent build quality out of the box.",5835,7002,"SKU-E71A97D3","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Lego Classic Toys Unit 1","lego-classic-toys-unit-1-2409","toys-games","Lego","This is dummy data for Lego Classic Toys Unit 1. Includes premium features and excellent build quality out of the box.",7945,9534,"SKU-4630125C","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Mattel Ultra Toys Unit 2","mattel-ultra-toys-unit-2-f30d","toys-games","Mattel","This is dummy data for Mattel Ultra Toys Unit 2. Includes premium features and excellent build quality out of the box.",7005,8406,"SKU-FCC7DA8F","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Hasbro Essential Toys Set 3","hasbro-essential-toys-set-3-c37d","toys-games","Hasbro","This is dummy data for Hasbro Essential Toys Set 3. Includes premium features and excellent build quality out of the box.",3915,4698,"SKU-DC7C6556","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Nintendo Essential Toys Edition 4","nintendo-essential-toys-edition-4-d434","toys-games","Nintendo","This is dummy data for Nintendo Essential Toys Edition 4. Includes premium features and excellent build quality out of the box.",8158,9789,"SKU-AD9B8423","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Lego Pro Toys Unit 5","lego-pro-toys-unit-5-2e0b","toys-games","Lego","This is dummy data for Lego Pro Toys Unit 5. Includes premium features and excellent build quality out of the box.",8771,10525,"SKU-8D07F21F","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Mattel Smart Toys Edition 6","mattel-smart-toys-edition-6-3b0c","toys-games","Mattel","This is dummy data for Mattel Smart Toys Edition 6. Includes premium features and excellent build quality out of the box.",6687,8024,"SKU-CDB24E2D","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Hasbro Premium Toys Bundle 7","hasbro-premium-toys-bundle-7-cbdc","toys-games","Hasbro","This is dummy data for Hasbro Premium Toys Bundle 7. Includes premium features and excellent build quality out of the box.",5964,7156,"SKU-5B1A9648","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Nintendo Ultra Toys Edition 8","nintendo-ultra-toys-edition-8-c39c","toys-games","Nintendo","This is dummy data for Nintendo Ultra Toys Edition 8. Includes premium features and excellent build quality out of the box.",1040,1248,"SKU-2DAAC333","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Lego Pro Toys Edition 9","lego-pro-toys-edition-9-2f36","toys-games","Lego","This is dummy data for Lego Pro Toys Edition 9. Includes premium features and excellent build quality out of the box.",3678,4413,"SKU-996E129C","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Nestle Smart Groceries Bundle 1","nestle-smart-groceries-bundle-1-65bc","groceries","Nestle","This is dummy data for Nestle Smart Groceries Bundle 1. Includes premium features and excellent build quality out of the box.",4446,5335,"SKU-779059A0","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Unilever Ultra Groceries Pack 2","unilever-ultra-groceries-pack-2-6e68","groceries","Unilever","This is dummy data for Unilever Ultra Groceries Pack 2. Includes premium features and excellent build quality out of the box.",6834,8200,"SKU-647AF88F","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"Kraft Advanced Groceries Edition 3","kraft-advanced-groceries-edition-3-37b6","groceries","Kraft","This is dummy data for Kraft Advanced Groceries Edition 3. Includes premium features and excellent build quality out of the box.",4610,5532,"SKU-96CDC096","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"P&G Pro Groceries Kit 4","p-g-pro-groceries-kit-4-af4c","groceries","P&G","This is dummy data for P&G Pro Groceries Kit 4. Includes premium features and excellent build quality out of the box.",1027,1232,"SKU-1E985842","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Nestle Advanced Groceries Pack 5","nestle-advanced-groceries-pack-5-dd50","groceries","Nestle","This is dummy data for Nestle Advanced Groceries Pack 5. Includes premium features and excellent build quality out of the box.",6660,7992,"SKU-68B31BBE","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Unilever Premium Groceries Kit 6","unilever-premium-groceries-kit-6-db7e","groceries","Unilever","This is dummy data for Unilever Premium Groceries Kit 6. Includes premium features and excellent build quality out of the box.",6752,8102,"SKU-DC8E06C4","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Kraft Pro Groceries Edition 7","kraft-pro-groceries-edition-7-bb62","groceries","Kraft","This is dummy data for Kraft Pro Groceries Edition 7. Includes premium features and excellent build quality out of the box.",4235,5082,"SKU-64A3E6D6","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"P&G Smart Groceries Bundle 8","p-g-smart-groceries-bundle-8-0f29","groceries","P&G","This is dummy data for P&G Smart Groceries Bundle 8. Includes premium features and excellent build quality out of the box.",5488,6585,"SKU-1CED3D53","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"Nestle Premium Groceries Kit 9","nestle-premium-groceries-kit-9-0a92","groceries","Nestle","This is dummy data for Nestle Premium Groceries Kit 9. Includes premium features and excellent build quality out of the box.",3085,3702,"SKU-D1D19216","https://images.unsplash.com/photo-1583394838336-acd977736f90"
